20230917	25080000	96	wake
20230920	22020000	97	wake
20230904	25020000	95	wake
20230907	19620000	92	wake
20230913	14040000	92	light
20230916	21720000	95	wake
20230902	19320000	89	light
20230905	36840000	91	light
20230901	24420000	87	wake
20230906	21600000	92	wake
20230909	30120000	72	wake
20230915	16020000	91	wake
20230919	21960000	89	wake
20230928	92100000	93	wake
20230908	26640000	96	wake
20230914	27600000	85	light
20230921	11320000	94	wake
20230930	21620000	91	wake
20230911	14820000	92	asleep
20230929	21040000	92	wake
20230903	18880000	95	asleep
20230912	14020000	94	asleep
20230922	12430000	95	wake
20230926	16220000	97	light
20230910	32340000	88	wake
20230923	11770000	96	light
20230925	19380000	95	light
20230927	32450000	82	light
20230918	13840000	97	restless
20230924	17220000	93	wake
